ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
5.05295,5.160140143203477,3.0,2.801,0.9,0.8,2.5,"phi=0.9,phi2=0.8"
2.0188,1.3023235235531914,1.0,2.516,0.1,0.01,2.75,"phi=0.1,phi2=0.01"
2.08675,1.3543723407911137,1.0,2.54,0.1,0.05,2.75,"phi=0.1,phi2=0.05"
2.2066,1.4296910295584848,1.0,2.6,0.1,0.09,2.75,"phi=0.1,phi2=0.09"
2.1858,1.2354263879325227,3.0,2.772,0.25,0.05,2.75,"phi=0.25,phi2=0.05"
2.2129,1.276155785944647,3.0,2.763,0.25,0.1,2.75,"phi=0.25,phi2=0.1"
2.3279,1.407153719392448,3.0,2.762,0.25,0.2,2.75,"phi=0.25,phi2=0.2"
1.9862,1.1359179371768016,2.0,2.804,0.5,0.1,2.75,"phi=0.5,phi2=0.1"
2.08205,1.237100560787198,2.0,2.803,0.5,0.2,2.75,"phi=0.5,phi2=0.2"
2.3755,1.5906287278934705,2.0,2.794,0.5,0.4,2.75,"phi=0.5,phi2=0.4"
2.1402,1.552914666039316,2.0,2.804,0.9,0.2,2.75,"phi=0.9,phi2=0.2"
2.6275,2.31834935891897,2.0,2.809,0.9,0.5,2.75,"phi=0.9,phi2=0.5"
3.6613,3.86371353881211,2.0,2.801,0.9,0.8,2.75,"phi=0.9,phi2=0.8"
1.739,1.1350237882969678,1.0,2.516,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
1.78545,1.1819129822030048,1.0,2.54,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
1.88365,1.2617894743181206,1.0,2.6,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
1.8834,1.1136446650525471,1.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
1.89995,1.1438269088896276,1.0,2.763,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
1.9713,1.2474679595083793,1.0,2.762,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
1.70295,0.959693335133677,1.0,2.804,0.5,0.1,3.0,"phi=0.5,phi2=0.1"
1.7657,1.0428823087961556,1.0,2.803,0.5,0.2,3.0,"phi=0.5,phi2=0.2"
1.9564,1.3210976648227035,1.0,2.794,0.5,0.4,3.0,"phi=0.5,phi2=0.4"
1.762,1.1743747272485048,1.0,2.804,0.9,0.2,3.0,"phi=0.9,phi2=0.2"
2.06125,1.7270201033861767,1.0,2.809,0.9,0.5,3.0,"phi=0.9,phi2=0.5"
2.7209,2.9267051764740497,1.0,2.801,0.9,0.8,3.0,"phi=0.9,phi2=0.8"
