Tau,ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
41,7.516,5.316911133355531,8.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
51,3.5638,2.3410958032511187,3.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
51,5.203,3.1711182570191228,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
51,7.5556,3.9811692553821416,8.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
51,2.4555,1.9816204858650408,2.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
51,3.4668,3.0715301984515793,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
51,8.2735,6.015305291504331,9.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
61,3.463,2.4193864924811,3.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
61,5.2533,3.4633710615526025,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
61,8.0035,4.4658580082667205,9.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
61,2.4187,1.9851927639400664,2.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
61,3.5376,3.212099973537561,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
61,8.8307,6.674341728590169,9.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
71,3.3524,2.4782280443897813,3.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
71,5.312,3.6578212094086826,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
71,8.4171,4.867599777097538,9.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
71,2.4107,2.023814593780764,2.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
71,3.571,3.3083468681503154,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
71,9.5503,7.31265135980104,10.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
81,3.241,2.4807496850750583,2.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
81,5.3264,3.8629862852461696,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
81,8.7778,5.2541818735175125,10.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
81,2.3744,2.016984045549196,1.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
81,3.6161,3.487423230696269,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
81,9.9573,7.901511039668298,10.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
91,3.1257,2.508166563448289,2.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
91,5.2896,4.048719777905109,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
91,9.1259,5.647127516711484,10.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
91,2.344,2.007402301483188,1.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
91,3.5383,3.504501834783369,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
91,10.5797,8.507693454162533,11.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
101,3.0363,2.4681536236628383,2.0,2.50028,0.1,0.01,3.0,"phi=0.1,phi2=0.01"
101,5.3321,4.199572548486334,5.0,2.52412,0.1,0.05,3.0,"phi=0.1,phi2=0.05"
101,9.4285,6.046311913059068,10.0,2.58375,0.1,0.09,3.0,"phi=0.1,phi2=0.09"
101,2.3487,2.0289180146077856,1.0,2.772,0.25,0.05,3.0,"phi=0.25,phi2=0.05"
101,3.6264,3.6162719809217885,2.0,2.75437,0.25,0.1,3.0,"phi=0.25,phi2=0.1"
101,11.0544,9.063003952332803,11.0,2.74474,0.25,0.2,3.0,"phi=0.25,phi2=0.2"
